time,total_qos,URLLC_avg_qos,eMBB_avg_qos,mMTC_avg_qos
0,25.671346239915163,0.9499999999999998,0.24537330823030376,0.3243243243243244
100,24.854704433155398,0.9499999999999998,0.3426695717811844,0.30277777777777776
200,28.310836108318576,0.9499999999999998,0.27405574055457127,0.3675
300,24.18531621792275,0.9499999999999998,0.18737154223075,0.31081081081081086
400,21.40090994244182,0.9499999999999998,0.258409161870151,0.275
500,26.391074189822426,0.9499999999999998,0.21617078832346834,0.33333333333333337
600,25.38679900805419,0.9499999999999998,0.18745876517965834,0.3175
700,22.298661630111727,0.9499999999999998,0.2845124330855176,0.32500000000000007
800,29.178053066852698,0.9499999999999998,0.31271807620376546,0.3825
900,19.957878829232737,0.9499999999999998,0.18137529455636445,0.3375000000000001
